,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6604394270586524
vocab_coverage,0.6740981179641488
ave_readability,4.921484218276297
ave_readability2,4.910327385703032
length,3931.61
min,3.8371999999999997
max,5.0
mean,4.921484218276297
std,0.18885808943185498
q1,4.94385
median,4.996933333333334
q3,4.999866666666667
FRE,46.10407
SMOGI,11.0845
FKGL,10.9745
CLI,15.885349999999999
ARI,18.207800000000002
DCRS,7.0002
LWF,10.488907041508986
GFI,8.64694
DW,36.522
TS,10.731
FH,87.83848
SP,84.25515
GP,32.512980000000006
CF,3.3251999999999997
NERF,3.363023490405574
