,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01923120945428087,0.04920008362699851,0.015387571198732866,0.03259466726926343
vocab_coverage,0.024940806414478645,0.06593855626637718,0.025668271699651905,0.05672489852984057
ave_readability,0.003223758206150789,0.003968844127423915,0.0022151954263095824,0.003088511354561667
ave_readability2,0.0028909912775831157,0.003638524698985837,0.001313028762577165,0.0018637546080151276
length,6412160.559,6745870.413,7388709.977,7201287.107
min,0.6177199999999992,0.808664874551971,0.3980736291847406,0.5546924702480258
max,0.0,0.0,0.0,0.0
mean,0.0032237582061507824,0.003968844127423934,0.0022151954263096097,0.003088511354561719
std,0.01341267924646291,0.019694614548367902,0.00892518181752334,0.013514439491900447
q1,0.008024444444444428,0.008196684587813603,0.008474585696807917,0.009736681125570044
median,0.0008299999999999982,0.0004312275985663083,0.0002624847069291511,0.0002624847069291511
q3,7.583333333333307e-05,4.6202956989246985e-05,7.56311867422978e-05,7.56311867422978e-05
FRE,1949.5437657000014,2549.2585729999987,3063.636523000002,3289.3910353000006
SMOGI,29.754080000000002,65.15830000000001,14.799010000000019,22.64463
FKGL,76.41562000000005,69.27954,132.25345000000004,99.18993999999994
CLI,153.52177439999994,215.70900980000013,339.20077760000027,391.6295052999999
ARI,228.46711000000002,255.77184999999952,429.9623799999997,415.0221800000003
DCRS,10.211202200000011,10.136417599999993,7.3637590000000035,9.2499817
LWF,76.48972497433725,84.08694352595624,52.03856646936438,53.39592611896814
GFI,57.96672240000005,36.70289000000003,93.87040230000007,54.38659689999998
DW,1021.832,1201.86,439.426,634.018
TS,74.364,43.513,107.064,64.835
FH,1115.6483747999998,1346.6917834,1812.8191250999978,1767.1364627999997
SP,1165.2845196,1363.4251758999985,1885.5609013999979,1867.9724179999994
GP,465.57698100000033,595.5166125999998,1035.3293994999997,1143.7214588999989
CF,5.5796300000000025,9.123440000000004,6.872810000000011,8.30081000000001
NERF,15.988437054056972,34.87074118140234,123.36278720333162,137.2342673668656
