,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10201803937205502,0.1686709889546142,0.13183052579156293,0.17332944415138668
vocab_coverage,0.1186890198694308,0.20082260317036527,0.15435891011989528,0.2115503611310532
ave_readability,0.037758884711687375,0.041143350177735474,0.039517540614386566,0.0413768190824593
ave_readability2,0.038612459252055746,0.0420446792660767,0.034524401595514585,0.03637633859927338
length,1273.513,1462.263,3530.728,2962.149
min,0.5672,0.6954301075268816,0.5182705718270572,0.6096160746322211
max,0.0,0.0,0.0006973500697350073,0.0006458557588805154
mean,0.03775888471168732,0.04114335017773544,0.03951754061438655,0.041376819082459236
std,0.08279392402477956,0.0997869864667308,0.08676336290745777,0.09872875401173488
q1,0.05351666666666667,0.053713037634408586,0.05282426778242676,0.05008970218873337
median,0.004499999999999992,0.0027889784946236525,0.004602510460251042,0.003085755292429131
q3,0.000549999999999999,0.00038642473118279434,0.001115760111576011,0.0011123071402942212
FRE,25.183580000000003,31.30369,40.96444,49.13572
SMOGI,3.313,6.1484,3.0561000000000003,4.1625
FKGL,4.359,5.1512,8.836,10.492799999999999
CLI,7.015149999999999,9.289390000000001,9.09489,11.31255
ARI,8.4346,10.378,14.127600000000003,16.434900000000003
DCRS,2.0793900000000005,2.03261,5.25967,5.62841
LWF,4.829290442701806,5.348958475223981,4.883718438745332,5.160498437294255
GFI,3.5047699999999997,3.95621,7.12505,8.116240000000001
DW,20.715,25.203,19.679,22.978
TS,4.262,4.251,5.863,6.745
FH,18.578480000000003,22.808619999999998,32.60837,38.99486
SP,18.885540000000002,23.07289,31.79335,37.75693
GP,12.187899999999999,15.3064,17.78947,21.492
CF,1.3822,1.8459,1.5337,1.8840999999999999
NERF,2.9116540551247816,4.998088325281693,7.753523825442611,9.000772068681231
