,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10679073723178904,0.18665249136806233,0.08646271457690807,0.10719929855767531
vocab_coverage,0.12215125573122956,0.21842114425362819,0.1414680433082934,0.18488848875493288
ave_readability,0.03948288983909219,0.04481306366263348,0.042261952250202114,0.044036119327652015
ave_readability2,0.03993179100768941,0.04521567778093985,0.09358147559601603,0.09585104807087774
length,1235.017,1386.241,1658.239,1330.08
min,0.569,0.6967741935483871,0.8683333333333333,0.8724666666666666
max,0.0,0.0,0.0,0.0
mean,0.03948288983909211,0.04481306366263345,0.04226195225020188,0.04403611932765176
std,0.08605892419422001,0.1053691839848429,0.09141580430769113,0.09741702073584961
q1,0.053633333333333345,0.05762768817204301,0.05280000000000008,0.05530000000000009
median,0.004799999999999992,0.0030241935483870924,0.0006999999999999984,0.0006999999999999984
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,26.08137,32.255199999999995,25.152489999999997,25.52859
SMOGI,3.5101999999999998,6.1996,4.068,4.4384
FKGL,4.597899999999999,5.4825,4.7656,5.007
CLI,7.29367,9.412049999999999,6.32584,6.78312
ARI,8.839900000000002,10.8549,7.279100000000001,7.4012
DCRS,2.10219,2.1403499999999998,1.3509,1.43315
LWF,5.444408100731771,6.100095073300826,7.874637475343229,7.939581522962276
GFI,3.6550199999999995,4.14356,4.8536399999999995,5.91619
DW,19.856,23.558,54.347,46.287
TS,4.427,4.46,4.63,4.995
FH,19.34288,23.72074,19.03932,19.369089999999996
SP,19.803549999999998,24.13538,19.43727,19.77988
GP,12.64064,15.725439999999999,10.992180000000001,11.4084
CF,1.4307,1.89,1.4392,1.4522999999999997
NERF,2.820566356759218,4.482677909896884,2.5755488330039134,2.6566799402674897
