,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10185658262541611,0.16584300870579277,0.15233377579478402,0.17199629035377934
vocab_coverage,0.118663481842824,0.19912542435224823,0.17913027018836158,0.20220537287908444
ave_readability,0.037456163285730835,0.041176404593612104,0.03061965841930873,0.032858143454114
ave_readability2,0.03807432522229077,0.04203732214719757,0.030776689777782373,0.031898579698222934
length,1276.129,1466.969,5672.056,5050.463
min,0.5672,0.6954301075268816,0.47707865168539326,0.5061840120663651
max,0.0,0.0,0.0,0.0
mean,0.037456163285730835,0.04117640459361205,0.03061965841930876,0.03285814345411401
std,0.08254094395940272,0.09926191417493842,0.07262442773332116,0.07818899217023305
q1,0.05135000000000001,0.05426747311827956,0.03775280898876404,0.03974358974358973
median,0.004566666666666658,0.002856182795698921,0.0019475655430711571,0.0018853695324283523
q3,0.000549999999999999,0.00038642473118279434,0.0002247191011235947,0.0002262443438914019
FRE,25.16054,31.160550000000004,40.35606000000001,43.21596
SMOGI,3.313,6.1484,3.5770999999999997,3.8928000000000003
FKGL,4.362799999999999,5.147,7.5263,8.0625
CLI,7.001,9.265039999999999,9.82491,10.75458
ARI,8.4208,10.364799999999999,10.809099999999999,11.7042
DCRS,2.06011,2.0498499999999997,5.552969999999999,5.77
LWF,4.858483572898549,5.358696627065745,4.881274461503409,4.913656537906538
GFI,3.5041499999999997,3.95489,4.72434,4.987959999999999
DW,21.168,25.9,21.872,21.565
TS,4.221,4.208,4.769,5.114
FH,18.584090000000003,22.734090000000002,30.6248,32.79469
SP,18.875400000000003,22.944209999999998,27.53436,29.557809999999996
GP,12.162709999999999,15.26731,15.80298,17.24207
CF,1.3781999999999999,1.8360999999999998,1.559,1.6683
NERF,2.9508915586183626,5.081429560614864,6.219941140583617,7.0019775751275635
