,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34543628003000765,0.032326176606219996,0.36203145740245224,0.20894352635596902
vocab_coverage,0.41887899241028703,0.07135301624166532,0.41249949103121103,0.25253112699410046
ave_readability,0.3371908170908156,0.14518496330870803,0.3682007694742223,0.28507217263784856
ave_readability2,0.2195166092423034,0.11447176521012557,0.31659665661220915,0.2433615075220509
length,0.20331662964776673,0.056111852808006554,0.042001342952661225,-0.0229649769199437
min,0.20307709654470923,0.10691918088844313,0.26731071568175646,0.19010881499829485
max,,,,
mean,0.3372707730903035,0.14517440646422733,0.3681779906927045,0.2850554988926974
std,0.30543621283748684,0.1514802399838029,0.33107204035987164,0.24380416077969744
q1,0.2849419062433839,0.10435940320922431,0.3692697864660658,0.28514025778094076
median,0.03599713465958862,-0.013828764111056139,0.04794725082296499,-0.012426900380103858
q3,,,,
FRE,0.42753735788760905,0.07111870609865872,0.3608924009300822,0.2579168100542946
SMOGI,0.2650309906890334,0.06780222024833282,0.3427841545405256,0.19820746505956646
FKGL,0.38717821908219846,0.07177723681600512,0.3159154796782909,0.22745387347115337
CLI,0.47234194457037826,0.05839750542973789,0.43699189529410454,0.331577014468574
ARI,0.35220688125458754,0.025870335412644142,0.2935821612419816,0.19750730116148227
DCRS,0.32478908740171236,0.0631761113651378,0.16878342268043112,0.11556568644677959
LWF,0.30135965094685147,0.07940047095622464,0.26341388066464516,0.14991371200420692
GFI,0.3477660214736181,0.08523394177503286,0.26948328470242056,0.18299878624245133
DW,0.26142344985080795,0.11832340374469467,0.292998976076615,0.17158270709445922
TS,0.27896932618583836,0.04789518082271578,0.23455594881811195,0.20414040078469434
FH,0.4146209079598439,0.07030903092237745,0.34558011957045276,0.24935036453430917
SP,0.42417886122915494,0.07180807550945881,0.33119087282153875,0.2013948613549869
GP,0.44354979855085125,0.044331334143020144,0.34630347256371474,0.19654499717393792
CF,0.4471954692668192,0.09386954175867059,0.4321838093309616,0.3162347198454764
NERF,0.24811129485562874,-0.0032010577484386698,0.2595923934898869,0.1505476175278984
