,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.47241107455971554
vocab_coverage,0.4739766216600231
ave_readability,4.909776947331339
ave_readability2,4.907823918379948
length,5164.743
min,4.0005006257822275
max,4.998915310805173
mean,4.9097769473313395
std,0.18758180070612218
q1,4.915039632874427
median,4.990196078431373
q3,4.995285773884022
FRE,37.55567
SMOGI,8.2017
FKGL,14.5562
CLI,22.56175
ARI,36.634800000000006
DCRS,5.15718
LWF,8.48754800304185
GFI,11.577609999999998
DW,17.274
TS,13.764
FH,78.86172
SP,34.56625
GP,-0.7776599999999999
CF,3.9707
NERF,1.8519815757194338
