,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.5667627054482366
vocab_coverage,0.5774377325044419
ave_readability,4.921316417613801
ave_readability2,4.917740621419449
length,6344.1
min,4.047650036153289
max,4.999421547360811
mean,4.921316417613801
std,0.17243646102398658
q1,4.929609544468547
median,4.991937816341287
q3,4.9971619667389735
FRE,-49.31336000000001
SMOGI,9.495099999999999
FKGL,28.247
CLI,45.40858
ARI,59.32359999999999
DCRS,6.67833
LWF,10.330929433337996
GFI,13.795
DW,20.702
TS,17.287
FH,15.36893
SP,-5.804500000000014
GP,-29.728160000000003
CF,8.1543
NERF,5.623821268979086
