,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.01923120945428086,0.04920008362699844,0.01454159588136701,0.024374536974092052
vocab_coverage,0.02494080641447869,0.06593855626637725,0.027448598713044198,0.04466110679526798
ave_readability,0.0032237582061507763,0.003968844127423907,0.007515507827791398,0.008243225811499375
ave_readability2,0.0028909912775831113,0.003638524698985835,0.0014953738018798326,0.0018812447851925672
length,6412160.559,6745870.413,28939962.034,21263327.055
min,0.61772,0.8086648745519713,0.4324133333333333,0.5180227120908483
max,0.0,0.0,0.0,0.0
mean,0.0032237582061507776,0.003968844127423908,0.007515507827791412,0.008243225811499376
std,0.013412679246462911,0.019694614548367913,0.014044287405519273,0.01691015125843749
q1,0.008024444444444452,0.008196684587813627,0.025123333333333345,0.026462090848363404
median,0.0008299999999999991,0.0004312275985663082,0.008346666666666665,0.008332219995546649
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0006533333333333335,0.0006546426185704743
FRE,1949.5437656999998,2549.258573,8897.264909399999,18114.6130156
SMOGI,29.754080000000002,65.1583,14.851060000000002,18.565800000000003
FKGL,76.41561999999999,69.27954000000001,340.37275000000005,548.2877100000001
CLI,153.5217744,215.7090098,1095.1197181,2061.5362494
ARI,228.46711,255.77185,1826.9013299999997,2536.2032299999996
DCRS,10.2112022,10.136417600000001,34.7107363,37.319283500000004
LWF,76.48972497433718,84.08694352595633,63.688960880043766,62.68582862003943
GFI,57.966722399999995,36.70289,213.60519359999998,251.23538399999995
DW,1021.832,1201.86,735.18,802.29
TS,74.364,43.513,272.882,336.57
FH,1115.6483747999998,1346.6917833999998,5124.0088827,9864.2954375
SP,1165.2845196,1363.4251758999997,5333.4790687,10349.924584800001
GP,465.576981,595.5166125999999,3242.9533755000007,5958.5049340000005
CF,5.57963,9.12344,24.082899999999995,53.82523000000001
NERF,15.988437054056986,34.870741181402344,63.10893011980009,81.1459160009067
