,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.4705473664378899
vocab_coverage,0.4858543284804238
ave_readability,4.920327338872624
ave_readability2,4.911843935698567
length,1091.195
min,3.9060606060606036
max,4.998958333333333
mean,4.920327338872624
std,0.19192136707974147
q1,4.9450757575757756
median,4.99815340909091
q3,4.998816287878788
FRE,92.49537999999943
SMOGI,7.520799999999999
FKGL,3.434800000000023
CLI,5.158739999999975
ARI,11.977799999999991
DCRS,6.846919999999993
LWF,7.0677150688321
GFI,7.10626999999999
DW,19.943
TS,7.559
FH,121.99329999999937
SP,64.09728
GP,26.23305
CF,1.7218
NERF,1.9895166186827677
