,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.0183021658140424,0.0430661015538707,0.053802986529000264,0.05450040381312308
vocab_coverage,0.024151644244843163,0.05844893437870582,0.06428831872136548,0.06569644473658369
ave_readability,0.0030365155359448563,0.0035381546699778973,0.010195302530657493,0.010278293948831294
ave_readability2,0.002703156850151045,0.0033589819365847837,0.004601177019401729,0.004658646374904824
length,6521982.479,6956971.053,30509704.869,29495689.888
min,0.61456,0.8068189964157706,0.6112845757149555,0.6398968588842007
max,0.0,0.0,0.002011251758087202,0.002011251758087202
mean,0.003036515535944849,0.0035381546699778865,0.010195302530657499,0.010278293948831303
std,0.012484671683655933,0.017975583095998844,0.019810501619677557,0.0204157879135174
q1,0.007689166666666674,0.007736335125448034,0.0293172761368964,0.02956194327238632
median,0.0008122222222222214,0.00042674731182795695,0.009709329582747306,0.009371776840131272
q3,7.583333333333305e-05,4.6202956989246985e-05,0.005083216127519927,0.005148851383028601
FRE,1866.7714674000001,2304.9543199,751594.01438,752024.2761916
SMOGI,26.415239999999997,61.85378000000001,42.39503,43.84341
FKGL,73.08042,59.03482000000001,18020.39306,17989.154739999994
CLI,145.3586796,199.05134239999998,633567.9728988,644159.8554952999
ARI,219.31806,222.17128,1493061.12053,1519913.6417
DCRS,10.0381601,9.533164300000001,157973.76639809995,157979.45463979998
LWF,56.92100286916948,56.45665412173089,241.5245487090914,251.30157790308917
GFI,56.081009300000005,31.282035700000005,4084.8246514999996,4043.6608595000002
DW,1086.572,1335.572,908.219,946.116
TS,72.759,36.182,3210.813,3205.291
FH,1069.1789931,1201.4244149,391459.2532106001,391508.3048511001
SP,1113.7845249999998,1218.3118075000002,418739.33615389996,418844.41286099993
GP,442.67833830000006,542.2180357,1786720.8460292998,1816473.3389375
CF,5.320819999999999,8.46301,2376.4262099999996,2379.0554299999994
NERF,15.600087092714562,36.61644056659991,2569.360892031682,2647.122401828059
