,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.3450504079144552,0.03094254027998341,0.3935915637707214,0.11554346833195527
vocab_coverage,0.4199226359741189,0.07198090573776134,0.4059869778907564,0.12718682452819266
ave_readability,0.33832213591965293,0.14534340104273044,0.46170668398893283,0.3102794999109591
ave_readability2,0.21945801671984083,0.1141281648710056,0.35455508650095763,0.23735135860831325
length,0.20331662964776673,0.056111852808006554,0.37014451085246747,0.058100905708434195
min,0.20307709654470923,0.10691918088844313,0.29891449725655506,0.19088684063911682
max,,,,
mean,0.3383419404725801,0.14544075439426735,0.46174444413617755,0.3103508914224765
std,0.30535487074565165,0.15157766038381082,0.4585134265134265,0.3067458667458668
q1,0.29145193828718663,0.1148896576343288,0.3209789713787076,0.20778454156283985
median,0.027866504874792353,-0.015696223648179367,-0.004499130357843716,
q3,,,,
FRE,0.4282009898911455,0.06959353240696191,0.4975842770908397,0.20128432323982673
SMOGI,0.27287966468790914,0.06846316923830792,0.4299474763224895,0.2551846823452496
FKGL,0.38896037537418976,0.07120945069306102,0.42804493127314547,0.1238969680906241
CLI,0.47146653414147327,0.05670515972709852,0.5203126582187156,0.2684951213216106
ARI,0.35236401460925065,0.026217578700512202,0.41391818009117903,0.1392903101484592
DCRS,0.32443750469863275,0.0638928867949718,0.2999287381315182,0.09991136952446995
LWF,0.30152245235199554,0.0810746058862822,0.32192594522209245,0.15503285123011565
GFI,0.34985664921615955,0.08778955422318455,0.41245389683694833,0.1509869583966698
DW,0.26142344985080795,0.11832340374469467,0.4531831481557417,0.21756539773631853
TS,0.25494350819441075,0.023463157803080968,0.3236281789567883,0.11844498334881652
FH,0.41563003306937685,0.06905899292731232,0.47409354091068445,0.1710380052244015
SP,0.4214112169572195,0.06937592979083329,0.48502881869275455,0.19018076703648842
GP,0.4423406423474144,0.043945850093266715,0.49467010446611825,0.23451466515887182
CF,0.44682283822148566,0.09172654084679377,0.5163486948254801,0.24051165432513996
NERF,0.2517496805049295,-0.0035767961884283885,0.32330458730458733,0.015489879489879491
