,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.3450504079144552,0.03094254027998341,0.391420420318946,0.16669345515192094
vocab_coverage,0.4199226359741189,0.07198090573776134,0.43789486113710935,0.22036357763772046
ave_readability,0.3383650419654015,0.1453981700689396,0.47918723006828395,0.363522719126701
ave_readability2,0.219316325152776,0.11413136731991871,0.3649746252375785,0.2725831462075147
length,0.20331662964776673,0.056111852808006554,0.33468541302180843,0.0713071957993656
min,0.20307709654470923,0.10691918088844313,0.2711236721427708,0.1853400278206408
max,,,,
mean,0.3383419404725801,0.14544075439426735,0.4792312401252297,0.3635265842186203
std,0.30535487074565165,0.15157766038381082,0.48316952716952727,0.34414077214077216
q1,0.29145193828718663,0.1148896576343288,0.34009592564249747,0.2771547180645774
median,0.027866504874792353,-0.015696223648179367,,
q3,,,,
FRE,0.4282009898911455,0.06959353240696191,0.4317379965003364,0.2249940542617379
SMOGI,0.27287966468790914,0.06846316923830792,0.3968265628937064,0.24649772646928983
FKGL,0.38896037537418976,0.07120945069306102,0.3634686170823471,0.16663837765904133
CLI,0.47146653414147327,0.05670515972709852,0.48617448365108307,0.31019850851153846
ARI,0.35236401460925065,0.026217578700512202,0.33731468608628257,0.12442261390173853
DCRS,0.32443750469863275,0.0638928867949718,0.3122069699225714,0.10512904131613726
LWF,0.30152245235199554,0.0810746058862822,0.2724696706973275,0.1811860479321592
GFI,0.34985664921615955,0.08778955422318455,0.39331634050741765,0.18018666314160764
DW,0.26142344985080795,0.11832340374469467,0.44272592250902765,0.27649145979801754
TS,0.25494350819441075,0.023463157803080968,0.2520562408552888,0.1439654505598599
FH,0.41563003306937685,0.06905899292731232,0.4037080037562938,0.20013482927977416
SP,0.4214112169572195,0.06937592979083329,0.40204201069605144,0.20602390000806886
GP,0.4423406423474144,0.043945850093266715,0.4337887593487275,0.2442671288155174
CF,0.44682283822148566,0.09172654084679377,0.4710327265993605,0.2781731964340673
NERF,0.2517496805049295,-0.0035767961884283885,0.3225352305352306,0.10181108981108983
