,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.019696745999443745,0.05212337341783414,0.012776195373192094,0.027804429894808132
vocab_coverage,0.025198822746388225,0.06805280772834504,0.02264713584794771,0.05199424528032146
ave_readability,0.0032762757680971826,0.0041111619496572455,0.001766715793944245,0.002375148487150877
ave_readability2,0.00293135724919252,0.0037886421481471964,0.0014476840673290677,0.0017021622073558232
length,6380466.209,6682526.463,4902912.552,5685619.815
min,0.61772,0.8086648745519713,0.37991555555555556,0.48504444444444444
max,0.0,0.0,0.0,0.0
mean,0.0032762757680971817,0.004111161949657249,0.0017667157939442442,0.0023751484871508766
std,0.013598371867181644,0.020055609479792662,0.008178051280378988,0.011629139168907886
q1,0.008088333333333341,0.0084655017921147,0.00471472222222223,0.005283055555555562
median,0.0008355555555555548,0.0004368279569892472,4.999999999999989e-05,5.44444444444443e-05
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1967.6600193,2505.8721935999997,1225.2078942,1643.7661875
SMOGI,29.168599999999998,63.312180000000005,12.159450000000001,16.75948
FKGL,76.85335,68.41363,32.08313,39.2035
CLI,155.2700557,211.91829609999996,109.88565490000002,156.7379353
ARI,232.06499,247.81278999999998,354.62781,401.92077000000006
DCRS,10.1583059,10.2816753,3.5499319000000003,5.666611199999999
LWF,75.02402623015266,81.72409450528056,57.37602450374512,52.145491088791
GFI,58.0087342,36.6918646,17.5102111,22.7943295
DW,1021.832,1201.86,583.895,722.448
TS,76.643,42.422,26.56,27.661
FH,1125.2444166,1324.7850693999999,637.3183358,831.804997
SP,1181.0125449000002,1343.1659404,677.1954283,889.1331692
GP,471.67378879999995,586.1673748,324.94485430000003,448.3173269
CF,5.61927,8.94886,3.2140699999999995,4.35935
NERF,15.272458957847414,31.714532579413845,39.08719756483725,52.070554133972315
