,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.3450504079144552,0.03094254027998341,0.38156299825640344,0.1404372815461724
vocab_coverage,0.4199226359741189,0.07198090573776134,0.44767993805780615,0.2016383145419104
ave_readability,0.33846244497096784,0.14549992455101265,0.49457798679297904,0.3549350700915689
ave_readability2,0.21952160762506492,0.11424034453112923,0.3594331813570733,0.2638788547851083
length,0.20331662964776673,0.056111852808006554,0.268282896023609,0.005593821108910832
min,0.20307709654470923,0.10691918088844313,0.2733985670032016,0.1837087038292259
max,,,,
mean,0.3383419404725801,0.14544075439426735,0.49458373308884995,0.35498114570941586
std,0.30535487074565165,0.15157766038381082,0.48476376476376487,0.3269801499610904
q1,0.29145193828718663,0.1148896576343288,0.37614403063947593,0.3137538858109885
median,0.027866504874792353,-0.015696223648179367,,
q3,,,,
FRE,0.4282009898911455,0.06959353240696191,0.44322154530238017,0.23977825631393157
SMOGI,0.27287966468790914,0.06846316923830792,0.40696426838870414,0.24568559372107074
FKGL,0.38896037537418976,0.07120945069306102,0.36633544496492537,0.1805508170696094
CLI,0.47146653414147327,0.05670515972709852,0.5248669322785136,0.3339858299851419
ARI,0.35236401460925065,0.026217578700512202,0.3708124510796133,0.14824936699724006
DCRS,0.32443750469863275,0.0638928867949718,0.32056615423578666,0.11412158106583666
LWF,0.30152245235199554,0.0810746058862822,0.23392721681471676,0.12024080698275676
GFI,0.34985664921615955,0.08778955422318455,0.39745661429957824,0.21639748534310238
DW,0.26142344985080795,0.11832340374469467,0.3809950792567428,0.20611581114702293
TS,0.25494350819441075,0.023463157803080968,0.2425046731522608,0.10933277778815557
FH,0.41563003306937685,0.06905899292731232,0.40904663664767504,0.21190477426507315
SP,0.4214112169572195,0.06937592979083329,0.42965030162174217,0.21543516460663376
GP,0.4423406423474144,0.043945850093266715,0.47579922565976324,0.2773689134712655
CF,0.44682283822148566,0.09172654084679377,0.49316240115723875,0.2854606055922573
NERF,0.2517496805049295,-0.0035767961884283885,0.3218828018828019,0.08634091434091434
