,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.7054621550851207
vocab_coverage,0.7731931067699618
ave_readability,4.897390801010665
ave_readability2,4.848907343218833
length,1110.404
min,3.631866666666667
max,5.0
mean,4.897390801010665
std,0.23357798459500487
q1,4.913216666666667
median,4.999933333333334
q3,5.0
FRE,40.49587
SMOGI,14.438400000000001
FKGL,13.201799999999999
CLI,13.520809999999999
ARI,15.531799999999999
DCRS,9.526729999999999
LWF,13.449441684704183
GFI,14.1485
DW,41.878
TS,13.549
FH,82.11661000000001
SP,78.72282999999999
GP,35.965830000000004
CF,3.9377
NERF,4.498538298530033
