,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.6889623535896835
vocab_coverage,0.7561692182512534
ave_readability,4.893201553080151
ave_readability2,4.827358240423981
length,1615.374
min,3.1155333333333335
max,5.0
mean,4.893201553080151
std,0.26639381113879546
q1,4.9233166666666675
median,4.999866666666667
q3,5.0
FRE,44.49337
SMOGI,13.818599999999998
FKGL,12.1637
CLI,13.525150000000002
ARI,15.505799999999999
DCRS,9.38964
LWF,13.705615404040403
GFI,12.97768
DW,52.934
TS,12.735
FH,85.52873
SP,82.00524999999999
GP,36.37489
CF,3.7282
NERF,5.3143605610661275
