,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10185658262541628,0.16584300870579288,0.12912960758818345,0.1660537375493988
vocab_coverage,0.11866348184282406,0.19912542435224806,0.16530976473372555,0.2235821583190752
ave_readability,0.03745616328573084,0.04117640459361211,0.0342056730570357,0.03907424563264816
ave_readability2,0.038074325222290754,0.042037322147197465,0.03465785536869956,0.037969726698414356
length,1276.129,1466.969,1006.485,1116.755
min,0.5672,0.6954301075268815,0.4300751879699243,0.5050179211469522
max,0.0,0.0,0.002864303616183315,0.002867383512544803
mean,0.03745616328573085,0.041176404593612194,0.03420567305703549,0.039074245632648136
std,0.08254094395940258,0.09926191417493833,0.07068556431266974,0.08255674141912565
q1,0.051349999999999896,0.054267473118279265,0.043376297887575965,0.04915770609318975
median,0.004566666666666658,0.002856182795698921,0.005442176870748296,0.005627240143369173
q3,0.000549999999999999,0.00038642473118279434,0.0030075187969924805,0.0031899641577060917
FRE,25.16053999999997,31.160549999999997,229.64087999999995,233.7277900000001
SMOGI,3.312999999999999,6.14839999999999,2.6552999999999995,2.910799999999998
FKGL,4.362800000000005,5.146999999999993,33.08289999999999,33.481300000000005
CLI,7.001000000000013,9.265040000000003,54.40359999999997,56.08784000000003
ARI,8.420799999999998,10.3648,60.027900000000024,61.522300000000065
DCRS,2.0601099999999986,2.04985,2.223179999999999,2.5212999999999997
LWF,4.85848357289855,5.358696627065737,4.669985522728904,4.76435266530855
GFI,3.5041500000000005,3.9548900000000047,3.3748299999999953,3.766540000000001
DW,21.168,25.9,16.317,18.758
TS,4.221,4.208,3.909,3.841
FH,18.584090000000003,22.734089999999952,163.91038,166.49019
SP,18.87539999999999,22.944210000000016,169.4823000000002,172.2104900000002
GP,12.16270999999999,15.267310000000007,89.77325999999994,92.35905000000001
CF,1.3781999999999988,1.8360999999999985,13.871400000000014,14.075000000000019
NERF,2.950891558618362,5.081429560614867,4.292373333167503,5.626770501669177
