,abody,abody_elim,gpt,gpt_elim
QuestionId,1.0,1.0,1.0,1.0
AnswerId,1.0,1.0,1.0,1.0
vocab_ratios,0.34492325629408344,0.031927929940396484,0.445076633799056,0.23159378901557517
vocab_coverage,0.4138761537795672,0.06800376101624171,0.4598203405002184,0.25225640222360096
ave_readability,0.33680473231410035,0.14506449036498967,0.5075742282032206,0.415165636975954
ave_readability2,0.22106261887236023,0.11429014422233742,0.3539487336597828,0.26765932373421897
length,0.20331662964776673,0.056111852808006554,0.21801718468587827,-0.02826004723636701
min,0.20322299781888456,0.10666542282061989,0.33393339011023887,0.263725393992126
max,,,,
mean,0.3369197805045026,0.14504643351644225,0.5076424871829992,0.4151855120096063
std,0.3065574941034134,0.15204799501153363,0.4750143757880139,0.3866752862410437
q1,0.28843540888926944,0.11302068507465421,0.4346515448061767,0.31026851008332446
median,0.0411559627577507,-0.012796453755033271,-0.0061306297729452775,-0.0061306297729452775
q3,,,,
FRE,0.4263204037423694,0.06606834824555957,0.541822276728847,0.350606826484567
SMOGI,0.2745559648838505,0.0719778733300166,0.4674130556408325,0.35192194632861395
FKGL,0.3860705819541602,0.0681144868945126,0.46356031411589194,0.3021121588258294
CLI,0.47374020159782043,0.05842559715104642,0.5913798123583797,0.3732096674633083
ARI,0.3543345830642611,0.02989232123401479,0.4654684826946599,0.24178758123804997
DCRS,0.32068443730248375,0.06385699616421191,0.33048872667989554,0.21574257431756771
LWF,0.29767466008309373,0.08503678363979279,0.304617103869008,0.19957096784156222
GFI,0.3465328274040892,0.08937067256802553,0.4316328258991273,0.2867949948931541
DW,0.2629023949241971,0.11901915383436493,0.3727880354598734,0.17774706937183474
TS,0.27388156630115695,0.05265711041633851,0.319745258091224,0.22361795574424748
FH,0.41311665711793893,0.0642251298613635,0.5141715685663346,0.33512078065832224
SP,0.4252145247472004,0.07316043238436509,0.535922149246922,0.3546899878994188
GP,0.44617708613284085,0.046709179479978755,0.5625358489732298,0.3421409182671769
CF,0.4466861193396672,0.0929726822441577,0.5816232615106095,0.40855113928410086
NERF,0.24555492029158502,-0.00926569085012412,0.34162949149461175,0.12065961227701216
