QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.7386363636363636,0.772020725388601,4.921700223713647,4.923076923076924,1227,4.0,5.0,4.921700223713647,0.19227924380638906,4.933333333333334,5.0,5.0,58.79,11.2,8.2,11.47,12.2,8.14,8.285714285714286,7.74,28,7th and 8th grade,98.09,95.01,41.22,2.8,5.039806481758433
76378408,76378435,0.8488372093023255,0.8911917098445595,4.939147286821706,4.92420091324201,1168,3.6666666666666665,5.0,4.939147286821705,0.19260836142434598,5.0,5.0,5.0,71.34,11.0,7.5,7.6,9.7,7.8,8.666666666666666,9.96,25,7th and 8th grade,105.7,103.13,47.21,2.2,4.131940901135859
76378340,76378439,0.7361111111111112,0.7430555555555556,4.955140186915888,4.934591194968555,1051,4.2,5.0,4.955140186915887,0.13512063789755627,5.0,5.0,5.0,52.09,12.5,10.7,15.72,17.6,8.59,13.6,10.63,23,10th and 11th grade,91.36,87.73,33.27,3.4,1.5006099873706393
76378344,76378496,0.6847826086956522,0.7801047120418848,4.921700223713647,4.913227513227514,1174,3.8666666666666663,5.0,4.921700223713646,0.21035555194149777,4.933333333333334,5.0,5.0,68.47,10.1,6.5,8.91,9.7,8.73,6.125,6.29,28,8th and 9th grade,105.31,99.15,45.47,2.4,4.332207936421753
76378323,76378505,0.6565656565656566,0.7142857142857143,4.920650406504065,4.947692307692308,1833,3.8,5.0,4.920650406504065,0.264609155464548,5.0,5.0,5.0,65.42,9.6,7.7,12.98,13.3,7.42,8.5,6.65,30,7th and 8th grade,102.25,97.05,38.57,2.7,5.745268498011724
76378468,76378523,0.8021978021978022,0.8333333333333334,4.949433962264151,4.939726027397261,1740,3.733333333333333,5.0,4.949433962264152,0.17085521209682974,5.0,5.0,5.0,74.32,8.0,8.4,7.49,11.1,5.85,10.4,9.14,14,7th and 8th grade,106.2,101.69,46.01,2.2,0.3692587405230201
76378419,76378558,0.803030303030303,0.8089430894308943,4.926298157453937,4.890566037735849,1581,3.733333333333333,5.0,4.926298157453937,0.1977417973431065,5.0,5.0,5.0,60.01,9.0,7.7,13.96,13.3,6.18,5.2,5.64,22,5th and 6th grade,99.31,98.16,37.05,2.4,1.8942828286789801
76383950,76384028,0.7391304347826086,0.8111888111888111,4.933908045977013,4.93202614379085,812,3.4,5.0,4.933908045977011,0.2576783598564835,5.0,5.0,5.0,66.44,9.9,7.3,8.8,8.8,7.5,10.333333333333334,7.73,21,7th and 8th grade,103.27,100.32,45.4,2.4,1.8991282735302173
76380624,76380646,0.6055045871559633,0.6715328467153284,4.926086956521738,4.9333333333333345,1565,4.466666666666667,5.0,4.92608695652174,0.13422042643854895,4.933333333333334,5.0,5.0,66.84,9.5,7.1,9.44,8.8,7.58,6.0,7.02,38,7th and 8th grade,103.68,102.66,44.52,2.2,4.085892153970354
76380600,76380785,0.7333333333333333,0.7982062780269058,4.93183520599251,4.897979797979799,1497,3.066666666666667,5.0,4.93183520599251,0.1848108735579625,4.933333333333334,5.0,5.0,55.03,12.1,9.6,11.37,12.8,7.43,14.75,9.13,28,9th and 10th grade,94.32,91.69,41.16,3.1,3.765814815992343
76378487,76378586,0.7166666666666667,0.7345132743362832,4.939759036144579,4.930232558139534,652,3.8,5.0,4.939759036144579,0.19432771774215038,5.0,5.0,5.0,69.82,8.8,8.1,6.21,9.4,8.28,11.2,8.77,15,8th and 9th grade,104.17,103.55,49.45,2.2,1.653808990183185
76380579,76380826,0.8169014084507042,0.8192090395480226,4.904827586206897,4.891954022988506,1091,3.733333333333333,5.0,4.904827586206897,0.24306407115671597,4.933333333333334,5.0,5.0,54.86,13.5,11.7,10.1,15.2,7.78,12.0,11.96,22,11th and 12th grade,91.65,89.57,41.25,3.0,3.0031675160262097
76383957,76384041,0.703125,0.6764705882352942,4.976231884057969,4.96,1102,4.133333333333334,5.0,4.97623188405797,0.12028671202459161,5.0,5.0,5.0,56.25,10.4,9.1,15.42,15.6,7.22,7.0,8.13,18,9th and 10th grade,95.54,93.82,34.27,2.9,0.5628097166826258
76383902,76384109,0.6193181818181818,0.5655296229802513,4.925502645502646,4.897859327217126,4021,3.6666666666666665,5.0,4.925502645502646,0.21794790789859678,5.0,5.0,5.0,36.02,14.6,14.8,15.09,22.2,7.99,10.5,12.06,57,14th and 15th grade,77.71,74.35,32.22,4.1,5.348474845097048
76378480,76378588,0.75,0.7932960893854749,4.927699530516432,4.91965811965812,1095,3.933333333333333,5.0,4.927699530516432,0.15774088968412675,4.933333333333334,5.0,5.0,61.77,12.1,9.1,11.02,13.8,6.68,10.333333333333334,8.65,13,8th and 9th grade,98.58,98.4,41.1,2.6,3.6153591266666654
76384080,76384128,0.8108108108108109,0.8304093567251462,4.914553990610329,4.925555555555556,1096,4.533333333333333,5.0,4.914553990610329,0.14724729227352246,4.866666666666666,5.0,5.0,65.96,10.6,9.5,8.3,14.4,7.48,11.4,9.87,16,9th and 10th grade,100.3,97.87,44.64,2.5,2.2716519864886866
76380728,76380908,0.7222222222222222,0.7322033898305085,4.92253086419753,4.898901098901101,1626,3.066666666666667,5.0,4.9225308641975305,0.1857765762689141,4.933333333333334,5.0,5.0,73.27,10.2,6.7,8.23,8.3,7.16,10.333333333333334,7.93,32,7th and 8th grade,107.64,101.73,46.32,2.3,5.507321415877922
76384218,76384269,0.6296296296296297,0.5723905723905723,4.932549019607843,4.913725490196079,2379,4.266666666666667,5.0,4.932549019607843,0.15115904886772208,4.933333333333334,5.0,5.0,41.36,11.9,10.7,15.99,18.8,7.16,7.75,7.14,30,7th and 8th grade,85.58,81.85,33.47,3.8,3.120147211033715
76383839,76384284,0.7285714285714285,0.7577639751552795,4.869398907103824,4.871895424836602,1051,3.6,5.0,4.869398907103824,0.3307437708650289,4.933333333333334,5.0,5.0,62.07,11.0,9.0,11.95,13.5,8.21,7.571428571428571,9.32,28,8th and 9th grade,98.89,93.86,39.7,2.9,4.520543462522525
76378670,76378715,0.6825396825396826,0.6176470588235294,4.95,4.947286821705426,893,4.333333333333333,5.0,4.95,0.12166177420039255,5.0,5.0,5.0,62.27,11.8,8.9,14.56,16.3,8.9,9.0,8.93,23,8th and 9th grade,99.09,94.94,35.35,2.8,3.5245268476923064
76378383,76378734,0.7108433734939759,0.7416267942583732,4.960000000000001,4.934463276836159,1399,3.2666666666666666,5.0,4.96,0.20257836219977002,5.0,5.0,5.0,42.45,14.1,14.4,14.28,20.7,7.9,14.75,13.44,25,14th and 15th grade,81.67,76.71,32.92,3.9,2.255044468396588
76380693,76380922,0.7049180327868853,0.75,4.947517730496454,4.9255813953488365,1014,4.333333333333333,5.0,4.947517730496455,0.11609851815972513,4.933333333333334,5.0,5.0,53.68,15.4,14.3,7.27,18.3,8.1,20.0,15.79,15,15th and 16th grade,87.96,86.65,43.18,2.8,-0.3544925477678662
