,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10185658262541611,0.16584300870579277,0.06411895479931369,0.07985480993309318
vocab_coverage,0.118663481842824,0.19912542435224823,0.11501705199420174,0.13471062981089807
ave_readability,0.037456163285730884,0.04117640459361207,0.03213342061998648,0.03362193888575911
ave_readability2,0.03807432522229073,0.04203732214719758,0.03750892509718612,0.03761282352410617
length,1276.129,1466.969,6512.476,5780.037
min,0.5672,0.6954301075268816,0.45273333333333327,0.4869333333333333
max,0.0,0.0,0.0,0.0
mean,0.037456163285730835,0.04117640459361205,0.03213342061998653,0.03362193888575915
std,0.08254094395940272,0.09926191417493842,0.06614863255964852,0.07101309947030549
q1,0.05135000000000001,0.05426747311827956,0.05063333333333339,0.05291666666666673
median,0.004566666666666658,0.002856182795698921,0.0015333333333333314,0.0012666666666666649
q3,0.000549999999999999,0.00038642473118279434,0.0,0.0
FRE,25.16054,31.160550000000004,28.6963,30.49328
SMOGI,3.313,6.1484,2.4499,2.5502
FKGL,4.362799999999999,5.147,4.5054,4.761900000000001
CLI,7.001,9.265039999999999,7.974890000000001,8.590770000000001
ARI,8.4208,10.364799999999999,8.0649,8.629299999999999
DCRS,2.06011,2.0498499999999997,3.78875,3.93826
LWF,4.858483572898549,5.358696627065745,4.028277081333699,3.9751829130020306
GFI,3.5041499999999997,3.95489,2.5097600000000004,2.6476100000000002
DW,21.168,25.9,43.323,39.457
TS,4.221,4.208,4.24,4.049
FH,18.584090000000003,22.734090000000002,20.71564,21.977529999999998
SP,18.875400000000003,22.944209999999998,21.27251,22.420489999999997
GP,12.162709999999999,15.26731,13.37109,14.335810000000002
CF,1.3781999999999999,1.8360999999999998,1.6100999999999999,1.6854
NERF,2.9508915586183626,5.081429560614864,4.13420904899266,4.8304391272502505
