,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.019696745999443745,0.05212337341783414,0.014958748335868407,0.02583106432785581
vocab_coverage,0.025198822746388225,0.06805280772834504,0.027721422767757863,0.05078612600197736
ave_readability,0.003276275768097185,0.0041111619496572455,0.001759651904144619,0.0021976678171931087
ave_readability2,0.0029313572491925185,0.0037886421481471977,0.001359983984132664,0.0015336466948025782
length,6380466.209,6682526.463,4787442.173,4907649.155
min,0.61772,0.8086648745519713,0.41051555555555547,0.47673333333333323
max,0.0,0.0,0.0,0.0
mean,0.0032762757680971817,0.004111161949657249,0.0017596519041446319,0.0021976678171931195
std,0.013598371867181644,0.020055609479792662,0.007633844336770048,0.01019018346835616
q1,0.008088333333333341,0.0084655017921147,0.004622222222222229,0.00510055555555556
median,0.0008355555555555548,0.0004368279569892472,5.44444444444443e-05,5.44444444444443e-05
q3,7.583333333333305e-05,4.6202956989246985e-05,0.0,0.0
FRE,1967.6600193,2505.8721935999997,1378.5831821,1702.2729081999998
SMOGI,29.168599999999998,63.312180000000005,11.21309,11.643130000000001
FKGL,76.85335,68.41363,35.410309999999996,39.86921000000001
CLI,155.2700557,211.91829609999996,119.96353380000001,157.28177290000002
ARI,232.06499,247.81278999999998,136.48862,172.58445999999998
DCRS,10.1583059,10.2816753,5.0695711,6.164157100000001
LWF,75.02402623015266,81.72409450528056,52.90758472781209,53.611646061391056
GFI,58.0087342,36.6918646,18.046760500000005,21.157121500000002
DW,1021.832,1201.86,885.175,765.697
TS,76.643,42.422,26.013,25.972
FH,1125.2444166,1324.7850693999999,713.9327433000001,859.2106360999999
SP,1181.0125449000002,1343.1659404,764.2104042,921.7106206
GP,471.67378879999995,586.1673748,351.44838,449.861518
CF,5.61927,8.94886,3.6707700000000005,4.4901599999999995
NERF,15.272458957847414,31.714532579413845,10.934805292047386,18.72425865058883
