QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.6762589928057554,0.7315436241610739,4.919571865443425,4.855319148936172,1877,3.2666666666666666,5.0,4.919571865443425,0.1954482554908072,4.933333333333334,5.0,5.0,35.0,16.5,15.2,13.18,19.3,9.93,20.25,16.26,69,16th and 17th grade,76.69,74.95,35.07,4.1,7.7722734999342595
76378408,76378435,0.6496815286624203,0.7478991596638656,4.915605493133583,4.871895424836603,2389,2.933333333333333,5.0,4.915605493133583,0.2766580131970187,5.0,5.0,5.0,48.64,13.3,12.1,13.76,17.0,9.38,16.75,13.38,72,13th and 14th grade,87.89,87.35,35.91,3.3,7.838162504613091
76378340,76378439,0.589041095890411,0.65527950310559,4.902685624012636,4.872868217054265,2793,4.0,5.0,4.902685624012638,0.20537319235924908,4.933333333333334,5.0,5.0,15.17,13.1,14.6,26.61,24.1,9.53,12.8,11.32,68,12th and 13th grade,66.76,60.76,15.93,5.5,6.52365256749605
76378344,76378496,0.6590909090909091,0.699438202247191,4.9025435073627825,4.867816091954023,2366,3.733333333333333,5.0,4.902543507362784,0.19488723957243198,4.866666666666666,5.0,5.0,44.44,13.3,11.6,13.75,15.7,10.14,13.4,11.56,82,11th and 12th grade,86.17,85.23,36.9,3.6,7.634365612783846
76378323,76378505,0.6194029850746269,0.7065527065527065,4.853225806451612,4.824096385542171,2602,2.933333333333333,5.0,4.853225806451612,0.35006193396825797,4.933333333333334,5.0,5.0,34.46,13.1,13.4,19.2,20.5,9.2,12.8,12.08,69,12th and 13th grade,78.64,76.18,27.22,4.3,7.30053108199723
76378468,76378523,0.7511737089201878,0.8293135435992579,4.885309470544367,4.793333333333331,3400,2.7333333333333334,5.0,4.885309470544369,0.2835456894729413,4.933333333333334,5.0,5.0,47.22,13.7,12.6,12.77,16.0,8.55,25.0,13.6,103,12th and 13th grade,86.46,82.22,37.07,3.7,6.808750587650634
76378419,76378558,0.621301775147929,0.6923076923076923,4.873662551440328,4.831111111111112,3942,2.933333333333333,5.0,4.873662551440329,0.3069928507446142,4.933333333333334,5.0,5.0,44.71,10.8,9.4,20.62,20.5,8.54,4.75,6.89,77,20th and 21st grade,88.95,84.85,25.93,3.3,7.950776282708048
76383950,76384028,0.6542056074766355,0.7905138339920948,4.894333333333332,4.809047619047617,3134,2.933333333333333,5.0,4.894333333333334,0.27188866185342203,4.933333333333334,5.0,5.0,51.48,11.7,11.0,12.01,13.6,8.75,15.75,11.21,99,11th and 12th grade,90.75,88.77,39.34,3.3,6.601185206832422
76380624,76380646,0.6979166666666666,0.7415458937198067,4.834527687296416,4.691044776119403,2665,2.466666666666667,5.0,4.834527687296417,0.39063691351679264,4.866666666666666,5.0,5.0,25.49,16.1,14.7,15.84,16.5,10.04,12.833333333333334,16.0,110,15th and 16th grade,72.13,68.86,32.73,4.8,8.34766543340652
76380600,76380785,0.6912751677852349,0.7565217391304347,4.916219667943804,4.8375404530744355,2285,2.933333333333333,5.0,4.916219667943805,0.23480835609422737,4.933333333333334,5.0,5.0,46.57,13.2,10.8,13.34,14.0,8.84,13.2,11.31,69,13th and 14th grade,88.32,86.14,37.83,3.5,7.032800734010365
76378487,76378586,0.6666666666666666,0.726027397260274,4.908930817610064,4.848148148148149,2129,3.6666666666666665,5.0,4.908930817610063,0.23630610640985392,4.933333333333334,5.0,5.0,48.0,14.1,16.5,8.19,20.2,9.05,30.5,18.27,52,16th and 17th grade,82.24,78.31,39.63,3.1,3.8467263291950857
76380579,76380826,0.583941605839416,0.7175324675324676,4.8684766214177975,4.816666666666667,2082,3.533333333333333,5.0,4.868476621417798,0.2916583572726252,4.933333333333334,5.0,5.0,34.9,16.4,15.3,13.99,19.4,9.88,13.8,16.06,70,13th and 14th grade,76.59,70.64,33.66,4.4,7.605461155400478
76383957,76384041,0.6424242424242425,0.6568627450980392,4.903233830845771,4.835849056603774,3270,3.1333333333333333,5.0,4.903233830845771,0.2323850454233287,4.933333333333334,5.0,5.0,26.61,14.0,14.3,18.68,19.8,8.87,16.75,12.99,93,13th and 14th grade,73.26,68.88,28.31,4.9,6.8238023068960825
76383902,76384109,0.6923076923076923,0.6731301939058172,4.8902606310013725,4.8425925925925934,2791,2.7333333333333334,5.0,4.890260631001372,0.2871923525953782,5.0,5.0,5.0,19.13,17.5,19.3,16.6,25.6,9.35,16.0,17.4,61,17th and 18th grade,63.24,61.44,27.34,4.7,5.905962061343629
76378480,76378588,0.6818181818181818,0.7601918465227818,4.9062039957938985,4.860952380952382,2771,3.933333333333333,5.0,4.906203995793901,0.16443318320849934,4.866666666666666,5.0,5.0,53.65,14.3,12.2,13.06,18.7,9.07,16.5,14.28,73,13th and 14th grade,90.42,85.11,35.87,3.3,6.924296832387874
76384080,76384128,0.7659574468085106,0.8267477203647416,4.90906862745098,4.85493827160494,2181,2.933333333333333,5.0,4.9090686274509805,0.21560702086698322,4.933333333333334,5.0,5.0,52.7,13.9,10.5,12.65,13.8,8.53,17.5,11.99,68,13th and 14th grade,91.97,86.18,38.72,3.5,5.693354602498744
