QuestionId,AnswerId,vocab_ratios,vocab_coverage,ave_readability,ave_readability2,length,min,max,mean,std,q1,median,q3,FRE,SMOGI,FKGL,CLI,ARI,DCRS,LWF,GFI,DW,TS,FH,SP,GP,CF,NERF
76378346,76378431,0.5517241379310345,0.5575284090909091,4.792951167728239,4.920833333333334,8398,4.0,5.0,4.792951167728239,0.3894447692936708,4.933333333333334,5.0,5.0,62.24,8.9,6.8,7.39,6.3,0.64,5.0,3.67,6,6th and 7th grade,101.56,100.93,47.75,2.0,-0.3613650244183111
76378408,76378435,0.8666666666666667,0.812369701181376,4.984602224123182,4.984615384615385,7369,4.8,5.0,4.984602224123182,0.05331476037094091,5.0,5.0,5.0,-1280.85,0.0,527.0,5.43,673.5,66.93,63.0,539.63,1,526th and 527th grade,-1253.15,-1229.37,-412.51,3.4,33.334839205024934
76378340,76378439,0.7272727272727273,0.025236593059936908,4.970833333333333,4.9638888888888895,2675,4.266666666666667,5.0,4.970833333333333,0.12795127110653406,5.0,5.0,5.0,67.59,0.0,8.9,180.21,291.3,9.27,11.25,9.18,6,8th and 9th grade,101.93,99.72,-242.26,2.4,-1.6509649761659961
76378344,76378496,0.0,0.0,,NaN,2516,,,,,,,,121.22,0.0,-3.5,7245.2,11820.0,19.48,-0.5,0.4,0,-1th and 0th grade,145.82,143.54,-12098.06,-19.1,-2.0712609183335613
76378323,76378505,0.7777777777777778,0.7604512276045122,4.992495636998256,4.955555555555556,7038,3.8,5.0,4.992495636998255,0.04066916792923983,5.0,5.0,5.0,85.02,4.1,6.4,4.88,7.4,1.17,5.5,8.03,9,5th and 6th grade,114.44,112.35,51.12,1.4,-1.3753064328188214
76378468,76378523,0.7368421052631579,0.7085062240663901,4.887945339189848,4.934920634920635,5736,4.266666666666667,5.0,4.887945339189849,0.2047177226399891,4.8,5.0,5.0,6.1,9.4,16.0,32.18,32.6,1.5,10.8,6.38,20,32nd and 33rd grade,60.15,58.21,6.41,5.7,-3.6532743053531176
76378419,76378558,0.5526315789473685,0.6403127715030409,4.891361374943464,4.887301587301588,7174,3.8666666666666663,5.0,4.891361374943465,0.3093582856325837,5.0,5.0,5.0,81.12,6.0,5.8,10.38,10.8,1.42,5.181818181818182,6.34,28,5th and 6th grade,113.03,107.39,43.0,1.9,-0.06336419719590758
76383950,76384028,0.0,0.0,,NaN,1836,,,,,,,,206.84,0.0,-15.7,-15.81,0.0,0.0,-1.0,0.0,0,-1th and 0th grade,206.84,0.0,0.0,0.0,-3.0233
76380624,76380646,0.5384615384615384,0.438136826783115,4.838095238095238,4.838095238095238,6445,4.2,5.0,4.838095238095238,0.2847603121471628,4.666666666666667,5.0,5.0,49.48,8.8,7.6,11.34,11.2,0.38,2.5,2.05,3,10th and 11th grade,93.74,89.7,38.18,1.3,-2.3283939559577123
76380600,76380785,0.4807692307692308,0.3888,4.960768175582991,4.9653333333333345,7884,4.733333333333333,5.0,4.960768175582991,0.0539009127692414,4.933333333333334,5.0,5.0,-0.38,10.6,14.3,36.14,34.8,4.94,4.0,2.82,23,10th and 11th grade,58.66,53.23,-4.95,3.4,2.6968280787345105
